Point,J1,J2,J3,J4,J5,J6,X_mm,Y_mm,Z_mm,RX_rad,RY_rad,RX_deg,RY_deg
P92,0.000000,0.000000,113.000000,-180.000000,60.000000,0.000000,-201.177218,75.915151,-1144.095867,2.240531048,-0.091496091,128.372973,-5.242340
P93,0.000000,0.000000,114.000000,-180.000000,60.000000,0.000000,-203.023115,77.531621,-1144.206160,2.241778110,-0.092335661,128.444424,-5.290444
P94,0.000000,0.000000,116.000000,-180.000000,61.000000,0.000000,-206.217978,78.169241,-1142.176451,2.226979991,-0.091151769,127.596555,-5.222612
P95,0.000000,0.000000,117.000000,-180.000000,62.000000,0.000000,-207.550775,77.224723,-1140.000831,2.210950061,-0.089049457,126.678107,-5.102158
P96,0.000000,0.000000,119.000000,-180.000000,62.000000,0.000000,-211.233125,80.454407,-1140.191650,2.213452151,-0.090628880,126.821466,-5.192652
P97,0.000000,0.000000,120.000000,-180.000000,63.000000,0.000000,-212.543345,79.541615,-1137.973977,2.197443284,-0.088396577,125.904226,-5.064751
P98,0.000000,0.000000,122.000000,-180.000000,63.000000,0.000000,-216.222064,82.770974,-1138.141939,2.199949841,-0.089925771,126.047841,-5.152367
P99,0.000000,0.000000,123.000000,-180.000000,64.000000,0.000000,-217.509362,81.890335,-1135.882748,2.183963504,-0.087562599,125.131891,-5.016967
P100,0.000000,0.000000,125.000000,-180.000000,65.000000,0.000000,-220.614215,82.658436,-1133.658650,2.169253619,-0.085833184,124.289077,-4.917879
P101,0.000000,0.000000,126.000000,-180.000000,65.000000,0.000000,-222.448265,84.271201,-1133.727631,2.170513069,-0.086546077,124.361238,-4.958725
P102,0.000000,0.000000,128.000000,-180.000000,66.000000,0.000000,-225.527596,85.072073,-1131.451635,2.155831406,-0.084658832,123.520041,-4.850594
P103,0.000000,0.000000,129.000000,-180.000000,66.000000,0.000000,-227.359511,86.684530,-1131.509117,2.157094348,-0.085345684,123.592402,-4.889948
P104,0.000000,0.000000,131.000000,-180.000000,67.000000,0.000000,-230.412909,87.518537,-1129.181751,2.142442824,-0.083299699,122.752932,-4.772721
P105,0.000000,0.000000,132.000000,-180.000000,68.000000,0.000000,-231.617567,86.777595,-1126.764781,2.126547373,-0.080487712,121.842189,-4.611606
P106,0.000000,0.000000,134.000000,-180.000000,68.000000,0.000000,-235.269649,89.998140,-1126.849498,2.129090257,-0.081754682,121.987886,-4.684198
P107,0.000000,0.000000,135.000000,-180.000000,69.000000,0.000000,-236.450132,89.291534,-1124.393812,2.113223562,-0.078809567,121.078791,-4.515456
P108,0.000000,0.000000,137.000000,-180.000000,69.000000,0.000000,-240.097328,92.511191,-1124.455386,2.115776096,-0.080022800,121.225041,-4.584969
P109,0.000000,0.000000,138.000000,-180.000000,70.000000,0.000000,-241.253386,91.839318,-1121.961551,2.099939555,-0.076944221,120.317674,-4.408579
P110,0.000000,0.000000,140.000000,-180.000000,71.000000,0.000000,-244.209694,92.813857,-1119.452974,2.085410518,-0.074339127,119.485221,-4.259318
P111,0.000000,0.000000,141.000000,-180.000000,71.000000,0.000000,-246.026881,94.421250,-1119.468516,2.086697716,-0.074890906,119.558972,-4.290933
